SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,OPP,AWAY,AWAY_STREAK,USG,PTS_5,MIN_5,USG_5,REST_DAYS,BACK_TO_BACK
22020,1630162,0022000018,2020-12-23,MIN vs. DET,W,25,5,12,0.417,1,5,0.2,4,4,1.0,2,2,4,4,0,0,1,1,15,4,1,DET,0,0,0.5504,,,,,0
22020,1630162,0022000028,2020-12-26,MIN @ UTA,W,22,8,12,0.667,2,3,0.667,0,0,0.0,0,1,1,1,2,0,0,4,18,6,1,UTA,1,1,0.5454545454545454,,,,3.0,0
22020,1630162,0022000040,2020-12-27,MIN @ LAL,L,29,6,21,0.286,1,9,0.111,2,2,1.0,2,2,4,2,1,0,1,2,15,-14,1,LAL,1,2,0.7544827586206896,,,,1.0,1
22020,1630162,0022000054,2020-12-29,MIN @ LAC,L,25,4,10,0.4,4,7,0.571,0,0,0.0,0,0,0,0,0,1,0,1,12,-21,1,LAC,1,3,0.4,,,,2.0,0
22020,1630162,0022000074,2021-01-01,MIN vs. WAS,L,26,7,16,0.438,2,8,0.25,1,4,0.25,0,3,3,2,0,1,3,2,17,-7,1,WAS,0,0,0.6830769230769231,,,,3.0,0
22020,1630162,0022000088,2021-01-03,MIN vs. DEN,L,23,2,4,0.5,1,3,0.333,0,0,0.0,0,0,0,4,1,0,3,1,5,-8,1,DEN,0,0,0.17391304347826086,15.4,25.4,0.5866828454304317,2.0,0
22020,1630162,0022000104,2021-01-05,MIN @ DEN,L,26,6,19,0.316,1,7,0.143,2,2,1.0,1,2,3,1,0,0,3,1,15,-11,1,DEN,1,1,0.7646153846153846,13.4,25.0,0.5113854541260838,2.0,0
22020,1630162,0022000122,2021-01-07,MIN @ POR,L,31,9,21,0.429,3,10,0.3,5,7,0.714,2,2,4,1,2,0,4,2,26,-15,1,POR,1,2,0.7767741935483871,12.8,25.8,0.5552176219582516,2.0,0
22020,1630162,0022000138,2021-01-09,MIN vs. SAS,L,30,5,11,0.455,1,4,0.25,2,2,1.0,0,4,4,4,0,0,3,3,13,2,1,SAS,0,0,0.396,15.0,26.2,0.5596759089437912,2.0,0
22020,1630162,0022000147,2021-01-10,MIN vs. SAS,W,18,0,8,0.0,0,2,0.0,0,0,0.0,3,3,6,1,0,0,2,1,0,-5,1,SAS,0,0,0.4444444444444444,15.2,27.2,0.5588759089437911,1.0,1
22020,1630162,0022000169,2021-01-13,MIN vs. MEM,L,17,1,6,0.167,0,2,0.0,0,0,0.0,2,1,3,1,0,0,0,1,2,-3,1,MEM,0,0,0.35294117647058826,11.8,25.6,0.5111494132172953,3.0,0
22020,1630162,0022000205,2021-01-18,MIN @ ATL,L,30,5,16,0.313,2,5,0.4,0,0,0.0,1,4,5,2,0,0,1,2,12,1,1,ATL,1,1,0.5333333333333333,11.2,24.4,0.5469550398157608,5.0,0
22020,1630162,0022000221,2021-01-20,MIN vs. ORL,L,23,3,14,0.214,1,4,0.25,1,2,0.5,0,0,0,0,0,0,2,0,8,13,1,ORL,0,0,0.6469565217391304,10.6,25.2,0.5006986295593506,2.0,0
22020,1630162,0022000236,2021-01-22,MIN vs. ATL,L,24,2,12,0.167,1,5,0.2,0,0,0.0,0,3,3,1,1,0,3,2,5,-13,1,ATL,0,0,0.5,7.0,23.6,0.47473509519749924,2.0,0
22020,1630162,0022000246,2021-01-23,MIN vs. NOP,W,20,5,14,0.357,2,7,0.286,6,6,1.0,0,1,1,1,2,0,2,0,18,9,1,NOP,0,0,0.8320000000000001,5.4,22.4,0.4955350951974992,1.0,1
22020,1630162,0022000266,2021-01-25,MIN @ GSW,L,27,4,13,0.308,1,3,0.333,6,7,0.857,2,1,3,1,1,0,2,2,15,-10,1,GSW,1,1,0.5955555555555555,9.0,22.8,0.5730462063086104,2.0,0
22020,1630162,0022000283,2021-01-27,MIN @ GSW,L,32,9,19,0.474,5,8,0.625,2,2,1.0,1,3,4,2,3,0,3,1,25,-2,1,GSW,1,2,0.62125,11.6,24.8,0.6215690821256039,2.0,0
22020,1630162,0022000294,2021-01-29,MIN vs. PHI,L,29,5,13,0.385,3,7,0.429,2,2,1.0,0,4,4,3,0,0,1,2,15,-25,1,PHI,0,0,0.47862068965517246,14.2,25.2,0.6391524154589371,2.0,0
22020,1630162,0022000311,2021-01-31,MIN vs. CLE,W,30,9,15,0.6,4,7,0.571,1,1,1.0,0,5,5,4,1,1,0,2,23,0,1,CLE,0,0,0.5146666666666666,15.6,26.4,0.6054852490421456,2.0,0
22020,1630162,0022000312,2021-02-01,MIN @ CLE,L,31,5,12,0.417,2,5,0.4,1,1,1.0,0,3,3,2,1,0,0,2,13,-3,1,CLE,1,1,0.4012903225806451,19.2,27.6,0.608418582375479,1.0,1
22020,1630162,0022000334,2021-02-03,MIN @ SAS,L,32,6,14,0.429,1,3,0.333,1,2,0.5,0,6,6,2,0,1,0,1,14,-5,1,SAS,1,2,0.465,18.2,29.8,0.5222766468916079,2.0,0
22020,1630162,0022000348,2021-02-05,MIN @ OKC,W,32,3,14,0.214,1,7,0.143,2,2,1.0,0,2,2,5,0,1,2,1,9,-6,1,OKC,1,3,0.465,18.0,30.8,0.4961655357804968,2.0,0
22020,1630162,0022000359,2021-02-06,MIN @ OKC,L,31,8,16,0.5,2,5,0.4,2,4,0.5,0,8,8,4,1,1,0,1,20,2,1,OKC,1,4,0.5729032258064517,14.8,30.8,0.4649155357804968,1.0,1
22020,1630162,0022000370,2021-02-08,MIN @ DAL,L,31,8,19,0.421,3,8,0.375,3,4,0.75,0,2,2,4,2,2,1,2,22,-13,1,DAL,1,5,0.6696774193548387,15.8,31.2,0.4837720430107527,2.0,0
22020,1630162,0022000387,2021-02-10,MIN vs. LAC,L,30,4,9,0.444,1,5,0.2,2,2,1.0,2,2,4,2,1,0,3,1,11,1,1,LAC,0,0,0.32933333333333337,15.6,31.4,0.514774193548387,2.0,0
22020,1630162,0022000395,2021-02-12,MIN @ CHA,L,34,9,21,0.429,2,6,0.333,1,1,1.0,0,6,6,3,0,0,0,2,21,-4,1,CHA,1,1,0.6305882352941177,15.2,31.2,0.5003827956989249,2.0,0
22020,1630162,0022000413,2021-02-14,MIN @ TOR,W,35,7,15,0.467,1,7,0.143,3,4,0.75,0,7,7,3,1,0,2,1,18,14,1,TOR,1,2,0.4788571428571429,16.6,31.6,0.5335004427577482,2.0,0
22020,1630162,0022000431,2021-02-16,MIN vs. LAL,L,34,10,21,0.476,5,10,0.5,3,4,0.75,0,7,7,5,1,2,3,2,28,0,1,LAL,0,0,0.6694117647058824,18.4,32.2,0.5362718713291769,2.0,0
22020,1630162,0022000440,2021-02-17,MIN vs. IND,L,39,3,15,0.2,0,4,0.0,2,2,1.0,0,5,5,4,0,0,1,0,8,-23,1,IND,0,0,0.4071794871794872,20.0,32.8,0.555573579109063,1.0,1
22020,1630162,0022000454,2021-02-19,MIN vs. TOR,L,34,3,14,0.214,0,7,0.0,1,2,0.5,0,3,3,4,2,1,1,0,7,-13,1,TOR,0,0,0.43764705882352944,17.2,34.4,0.5030739926739927,2.0,0
22020,1630162,0022000469,2021-02-21,MIN @ NYK,L,32,3,11,0.273,3,6,0.5,3,4,0.75,0,3,3,4,0,0,3,2,12,-6,1,NYK,1,1,0.39875,16.4,35.2,0.524736737772032,2.0,0
22020,1630162,0022000486,2021-02-23,MIN @ MIL,L,28,3,13,0.231,3,8,0.375,0,0,0.0,0,6,6,3,0,2,4,1,9,-10,1,MIL,1,2,0.4642857142857143,14.6,34.8,0.47836909071320843,2.0,0
22020,1630162,0022000493,2021-02-24,MIN @ CHI,L,37,7,20,0.35,3,9,0.333,4,4,1.0,3,6,9,6,2,0,3,2,21,5,1,CHI,1,3,0.5881081081081081,12.8,33.4,0.4754548049989227,1.0,1
22020,1630162,0022000517,2021-02-27,MIN @ WAS,L,32,9,22,0.409,3,11,0.273,0,2,0.0,2,4,6,0,1,2,1,2,21,2,1,WAS,1,4,0.715,11.4,34.0,0.45919407367936776,3.0,0
22020,1630162,0022000526,2021-02-28,MIN vs. PHX,L,35,8,22,0.364,2,8,0.25,6,6,1.0,0,5,5,1,3,0,4,3,24,-15,1,PHX,0,0,0.7040000000000001,14.0,32.6,0.5207581762434704,1.0,1
22020,1630162,0022000547,2021-03-03,MIN vs. CHA,L,33,8,23,0.348,1,10,0.1,2,2,1.0,3,2,5,3,2,0,4,2,19,-24,1,CHA,0,0,0.7236363636363636,17.4,32.8,0.5740287644787644,3.0,0
22020,1630162,0022000574,2021-03-11,MIN @ NOP,W,37,10,22,0.455,2,5,0.4,5,6,0.833,0,4,4,2,3,0,3,3,27,11,1,NOP,1,1,0.6659459459459459,18.8,33.0,0.6390060372060372,8.0,0
22020,1630162,0022000591,2021-03-13,MIN vs. POR,L,29,8,18,0.444,3,7,0.429,2,4,0.5,0,8,8,3,1,0,3,4,21,-6,1,POR,0,0,0.6813793103448277,22.4,34.8,0.6793380835380836,2.0,0
22020,1630162,0022000599,2021-03-14,MIN vs. POR,W,37,12,24,0.5,6,14,0.429,4,4,1.0,0,4,4,2,1,0,2,3,34,-7,1,POR,0,0,0.6962162162162162,22.4,33.2,0.6979923239854274,1.0,1
22020,1630162,0022000615,2021-03-16,MIN @ LAL,L,38,11,22,0.5,3,7,0.429,4,6,0.667,2,2,4,1,1,0,2,1,29,-17,1,LAL,1,1,0.648421052631579,25.0,34.2,0.6942355672286707,2.0,0
22020,1630162,0022000628,2021-03-18,MIN @ PHX,W,38,15,31,0.484,4,13,0.308,8,13,0.615,3,4,7,3,2,0,2,2,42,9,1,PHX,1,2,0.9663157894736841,26.0,34.8,0.6831197777549866,2.0,0
22020,1630162,0022000638,2021-03-19,MIN @ PHX,L,36,4,18,0.222,3,8,0.375,0,0,0.0,2,8,10,6,1,1,7,2,11,-12,1,PHX,1,3,0.5,30.6,35.8,0.7316556629224507,1.0,1
22020,1630162,0022000654,2021-03-22,MIN vs. OKC,L,32,6,16,0.375,2,7,0.286,2,4,0.5,1,1,2,3,1,0,2,1,16,-17,1,OKC,0,0,0.555,27.4,35.6,0.6984664737332614,3.0,0
22020,1630162,0022000673,2021-03-24,MIN vs. DAL,L,37,9,23,0.391,3,12,0.25,8,9,0.889,0,5,5,3,1,0,0,3,29,-7,1,DAL,0,0,0.7286486486486486,26.4,36.2,0.6731906116642958,2.0,0
22020,1630162,0022000688,2021-03-26,MIN vs. HOU,W,33,4,17,0.235,2,7,0.286,2,2,1.0,0,6,6,2,1,0,1,1,12,-12,1,HOU,0,0,0.5418181818181818,25.4,36.2,0.6796770981507824,2.0,0
22020,1630162,0022000696,2021-03-27,MIN vs. HOU,L,34,11,22,0.5,3,9,0.333,2,3,0.667,1,3,4,2,1,0,1,1,27,-5,1,HOU,0,0,0.6858823529411765,22.0,35.2,0.6583565239881028,1.0,1
22020,1630162,0022000709,2021-03-29,MIN @ BKN,L,35,9,22,0.409,0,7,0.0,5,7,0.714,3,7,10,0,3,1,4,5,23,5,1,BKN,1,1,0.7165714285714285,19.0,34.4,0.6022698366816014,2.0,0
22020,1630162,0022000726,2021-03-31,MIN vs. NYK,W,36,9,16,0.563,2,7,0.286,4,5,0.8,1,1,2,3,3,4,3,3,24,14,1,NYK,0,0,0.5055555555555555,21.4,34.2,0.645584122395887,2.0,0
22020,1630162,0022000741,2021-04-02,MIN @ MEM,L,31,9,14,0.643,2,3,0.667,2,2,1.0,1,2,3,6,1,2,3,1,22,-5,1,MEM,1,1,0.48000000000000004,23.0,35.0,0.6356952335069982,2.0,0
22020,1630162,0022000750,2021-04-03,MIN @ PHI,L,41,10,23,0.435,3,7,0.429,4,4,1.0,1,0,1,1,1,0,4,1,27,-9,1,PHI,1,2,0.6039024390243903,21.6,33.8,0.5859655037772684,1.0,1
22020,1630162,0022000765,2021-04-05,MIN vs. SAC,W,38,5,15,0.333,3,10,0.3,6,7,0.857,1,7,8,5,2,0,7,1,19,15,1,SAC,0,0,0.4757894736842105,24.6,35.4,0.5983823552185102,2.0,0
22020,1630162,0022000776,2021-04-07,MIN @ IND,L,34,11,21,0.524,2,5,0.4,3,5,0.6,3,2,5,3,1,0,2,1,27,5,1,IND,1,1,0.6823529411764706,23.0,36.2,0.556363779367117,2.0,0
22020,1630162,0022000792,2021-04-09,MIN @ BOS,L,40,7,12,0.583,2,6,0.333,8,8,1.0,1,4,5,5,1,0,3,3,24,-1,1,BOS,1,2,0.388,23.8,36.0,0.5495200818881255,2.0,0
22020,1630162,0022000812,2021-04-11,MIN vs. CHI,W,36,5,14,0.357,2,5,0.4,3,3,1.0,0,5,5,2,3,0,2,0,15,4,1,CHI,0,0,0.4255555555555556,23.8,36.8,0.5260089707770144,2.0,0
22020,1630162,0022000817,2021-04-13,MIN vs. BKN,L,33,8,22,0.364,2,11,0.182,9,12,0.75,1,7,8,2,1,1,1,2,27,-39,1,BKN,0,0,0.8266666666666667,22.4,37.8,0.5151200818881254,2.0,0
22020,1630162,0022000834,2021-04-14,MIN vs. MIL,L,31,8,21,0.381,5,11,0.455,3,5,0.6,0,0,0,3,3,0,2,0,24,-21,1,MIL,0,0,0.7483870967741936,22.4,36.2,0.5596729274165806,1.0,1
22020,1630162,0022000852,2021-04-16,MIN vs. MIA,W,30,5,13,0.385,2,6,0.333,0,0,0.0,0,4,4,5,1,0,1,0,12,19,1,MIA,0,0,0.43333333333333335,23.4,34.8,0.6141924520345773,2.0,0
22020,1630162,0022000867,2021-04-18,MIN @ LAC,L,29,6,16,0.375,5,11,0.455,6,7,0.857,0,6,6,3,0,0,1,4,23,-17,1,LAC,1,1,0.6579310344827586,20.4,34.0,0.5643885304659498,2.0,0
22020,1630162,0022000880,2021-04-20,MIN @ SAC,W,38,11,21,0.524,5,12,0.417,1,1,1.0,0,4,4,3,3,1,3,2,28,4,1,SAC,1,2,0.5642105263157895,20.2,31.8,0.6183747373625016,2.0,0
22020,1630162,0022000891,2021-04-21,MIN @ SAC,L,28,4,10,0.4,2,7,0.286,6,8,0.75,0,1,1,2,0,0,2,1,16,-3,1,SAC,1,3,0.4828571428571428,22.8,32.2,0.6461057315145483,1.0,1
22020,1630162,0022000909,2021-04-24,MIN @ UTA,W,36,9,19,0.474,4,10,0.4,1,3,0.333,1,8,9,4,5,0,2,1,23,5,1,UTA,1,4,0.5644444444444444,20.6,31.2,0.5773438267526435,3.0,0
22020,1630162,0022000923,2021-04-26,MIN vs. UTA,W,38,5,17,0.294,1,10,0.1,3,3,1.0,1,8,9,4,1,0,3,2,14,1,1,UTA,0,0,0.48210526315789476,20.4,32.2,0.5405552962866937,2.0,0
22020,1630162,0022000931,2021-04-27,MIN @ HOU,W,33,9,22,0.409,1,8,0.125,0,3,0.0,2,7,9,2,3,2,3,1,19,2,1,HOU,1,1,0.7066666666666667,20.8,33.8,0.550309682251606,1.0,1
22020,1630162,0022000946,2021-04-29,MIN vs. GSW,W,35,10,19,0.526,3,6,0.5,2,3,0.667,0,5,5,3,0,1,2,4,25,5,1,GSW,0,0,0.5805714285714286,20.0,34.6,0.5600568086883876,2.0,0
22020,1630162,0022000962,2021-05-01,MIN vs. NOP,L,38,9,21,0.429,2,7,0.286,9,11,0.818,2,7,9,6,0,1,6,3,29,-8,1,NOP,0,0,0.68,19.4,34.0,0.5633289891395153,2.0,0
22020,1630162,0022000183,2021-05-05,MIN vs. MEM,L,38,17,22,0.773,8,9,0.889,0,1,0.0,1,5,6,7,1,1,3,4,42,11,1,MEM,0,0,0.5905263157894737,22.0,36.0,0.6027575605680868,4.0,0
22020,1630162,0022001005,2021-05-07,MIN @ MIA,L,41,10,19,0.526,2,9,0.222,3,3,1.0,2,4,6,3,0,1,5,4,25,-1,1,MIA,1,1,0.49560975609756097,25.8,36.4,0.6079739348370927,2.0,0
22020,1630162,0022001022,2021-05-09,MIN @ ORL,W,29,7,11,0.636,2,6,0.333,0,1,0.0,1,9,10,5,0,1,1,2,16,25,1,ORL,1,2,0.39448275862068966,28.0,37.0,0.610674833425026,2.0,0
22020,1630162,0022001033,2021-05-11,MIN @ DET,W,34,7,16,0.438,2,6,0.333,6,9,0.667,1,1,2,2,2,0,4,3,22,30,1,DET,1,3,0.5870588235294117,27.4,36.2,0.5482380518158305,2.0,0
22020,1630162,0022001052,2021-05-13,MIN vs. DEN,L,39,8,16,0.5,4,9,0.444,9,12,0.75,1,6,7,5,0,2,1,3,29,-6,1,DEN,0,0,0.5456410256410257,26.8,36.0,0.5495355308074272,2.0,0
22020,1630162,0022001063,2021-05-15,MIN vs. BOS,L,34,8,18,0.444,1,9,0.111,6,6,1.0,0,4,4,6,3,0,2,1,23,-12,1,BOS,0,0,0.6070588235294118,26.8,36.2,0.5226637359356323,2.0,0
22020,1630162,0022001071,2021-05-16,MIN vs. DAL,W,38,10,21,0.476,5,9,0.556,5,5,1.0,0,0,0,4,0,2,1,1,30,9,1,DAL,0,0,0.6105263157894737,23.0,35.4,0.5259702374836199,1.0,1
